Position,Artist,Song Title
1,Pharrell Williams,Happy
2,Katy Perry feat. Juicy J,Dark Horse
3,John Legend,All Of Me
4,Iggy Azalea feat. Charli XCX,Fancy
5,OneRepublic,Counting Stars
6,Jason Derulo feat. 2 Chainz,Talk Dirty
7,MAGIC!,Rude
8,Meghan Trainor,All About That Bass
9,Ariana Grande feat. Iggy Azalea,Problem
10,Sam Smith,Stay With Me
11,Pitbull feat. Ke$ha,Timber
12,Bastille,Pompeii
13,Taylor Swift,Shake It Off
14,Nico and Vinz,Am I Wrong
15,DJ Snake and Lil Jon,Turn Down For What
16,Eminem feat. Rihanna,The Monster
17,A Great Big World and Christina Aguilera,Say Something
18,Lorde,Team
19,Passenger,Let Her Go
20,Lorde,Royals
21,Idina Menzel,Let It Go
22,Avicii,Wake Me Up!
23,Imagine Dragons,Demons
24,One Direction,Story Of My Life
25,Sia,Chandelier
26,Iggy Azalea feat. Rita Ora,Black Widow
27,"Jessie J, Ariana Grande & Nicki Minaj",Bang Bang
28,Disclosure feat. Sam Smith,Latch
29,Maroon 5,Maps
30,Chris Brown feat. Lil Wayne and French Montana or Too $hort or Tyga,Loyal
31,American Authors,Best Day Of My Life
32,Tove Lo,Habits (Stay High)
33,Calvin Harris,Summer
34,Charli XCX,Boom Clap
35,Beyonce feat. Jay Z,Drunk In Love
36,Nicki Minaj,Anaconda
37,Ariana Grande feat. Zedd,Break Free
38,Enrique Iglesias feat. Descemer Bueno and Gente De Zona,Bailando
39,Ellie Goulding,Burn
40,Jason Derulo feat. Snoop Dogg,Wiggle
41,Clean Bandit feat. Jess Glynne,Rather Be
42,Jeremih feat. Yg,Don't Tell 'Em
43,Kid Ink feat. Chris Brown,Show Me
44,Miley Cyrus,Wrecking Ball
45,Justin Timberlake,Not A Bad Thing
46,Katy Perry,Roar
47,Paramore,Ain't It Fun
48,Aloe Blacc,The Man
49,Florida Georgia Line feat. Luke Bryan,This Is How We Roll
50,Mkto,Classic
51,Coldplay,A Sky Full Of Stars
52,Ed Sheeran,Don't
53,Trey Songz,Na Na
54,Bobby Shmurda,Hot Boy
55,Drake feat. Majid Jordan,"Hold On, We're Going Home"
56,Ed Sheeran,Sing
57,Imagine Dragons,Radioactive
58,Yg feat. Jeezy and Rich Homie Quan,My Hitta
59,Echosmith,Cool Kids
60,Avicii,Hey Brother
61,Jason Derulo,Trumpets
62,Maroon 5,Animals
63,Jason Aldean,Burnin' It Down
64,Luke Bryan,Play It Again
65,Tinashe feat. Schoolboy Q,2 On
66,Florida Georgia Line,Dirt
67,OneRepublic,Love Runs Out
68,Brantley Gilbert,Bottoms Up
69,Becky G,Shower
70,Rixton,Me And My Broken Heart
71,Martin Garrix,Animals
72,Rich Gang feat. Young Thug and Rich Homie Quan,Lifestyle
73,Kenny Chesney,American Kids
74,Sara Bareilles,Brave
75,The Neighbourhood,Sweater Weather
76,Sam Hunt,Leave The Night On
77,Chris Brown feat. Usher and Rick Ross,New Flame
78,Michael Jackson and Justin Timberlake,Love Never Felt So Good
79,Dierks Bentley,Drunk On A Plane
80,Katy Perry,Birthday
81,Lady Antebellum,Bartender
82,Naughty Boy feat. Sam Smith,La La La
83,Robin Thicke feat. T.I. and Pharrell,Blurred Lines
84,Lady Gaga feat. R. Kelly,Do What U Want
85,Shakira feat. Rihanna,Can't Remember To Forget You
86,5 Seconds Of Summer,Amnesia
87,T.I. feat. Iggy Azalea,No Mediocre
88,Kongos,Come With Me Now
89,Lil Wayne feat. Drake,Believe Me
90,"Mike Will Made-It feat. Miley Cyrus, Wiz Khalifa and Juicy J",23
91,Jake Owen,Beachin'
92,Macklemore & Ryan Lewis feat. Schoolboy Q and Hollis,White Walls
93,5 Seconds Of Summer,She Looks So Perfect
94,Zedd feat. Hayley Williams,Stay The Night
95,Beyonce,Partition
96,Schoolboy Q feat. BJ The Chicago Kid,Studio
97,Drake,0 To 100 / The Catch Up
98,Lee Brice,I Don't Dance
99,Miranda Lambert and Carrie Underwood,Somethin' Bad
100,Miley Cyrus,Adore You
