Position,Artist,Song Title
1,Mr. Acker Bilk,Stranger On The Shore
2,Ray Charles,I Can't Stop Loving You
3,Dee Dee Sharp,Mashed Potato Time
4,Bobby Vinton,Roses Are Red (My Love)
5,David Rose,The Stripper
6,Shelley Fabares,Johnny Angel
7,Little Eva,The Loco-Motion
8,Sensations,Let Me In
9,Chubby Checker,The Twist
10,Shirelles,Soldier Boy
11,Bruce Channel,Hey! Baby
12,Dion,The Wanderer
13,Gene Chandler,Duke Of Earl
14,Freddy Cannon,Palisades Park
15,Neil Sedaka,Breaking Up Is Hard To Do
16,Claude King,Wolverton Mountain
17,Chubby Checker,Slow Twistin'
18,Johnny Tillotson,It Keeps Right On a-Hurtin'
19,Mary Wells,The One Who Really Loves You
20,Elvis Presley,Good Luck Charm
21,Kenny Ball,Midnight In Moscow
22,Tommy Roe,Sheila
23,Sam Cooke,Twistin' The Night Away
24,Orlons,Wah-Watusi
25,Joey Dee and The Starlighters,Peppermint Twist
26,Brenda Lee,Break It To Me Gently
27,Marvelettes,Playboy
28,Nat King Cole,Ramblin' Rose
29,Brian Hyland,Sealed With A Kiss
30,Jay and The Americans,She Cried
31,Connie Francis,Don't Break The Heart That Loves You
32,Gary U.S. Bonds,Dear Lady Twist
33,Sue Thompson,Norman
34,Ketty Lester,Love Letters
35,Claudine Clark,Party Lights
36,Highwaymen,Cotton Fields
37,Bent Fabric,Alley Cat
38,Isley Brothers,Twist And Shout
39,Richard Chamberlain,Theme From Dr. Kildare
40,Ace Cannon,Tuff
41,Clyde Mcphatter,"Lover, Please"
42,Barbara George,I Know
43,Rick Nelson,Young World
44,Shirelles,Baby It's You
45,Pat Boone,Speedy Gonzales
46,Burl Ives,A Little Bitty Tear
47,Everly Brothers,Crying In The Rain
48,Emillo Pericoli,Al Di La'
49,Ernie Maresca,Shout! Shout! (Knock Yourself Out)
50,Don and Juan,What's Your Name
51,Corsairs,Smoky Places
52,Sam Cooke,Having A Party
53,Booker T and The MG's,Green Onions
54,Ray Charles,You Don't Know Me
55,Four Seasons,Sherry
56,Joanie Sommers,Johnny Get Angry
57,Elvis Presley,Can't Help Falling In Love
58,Joey Dee,Shout
59,"Dave ""Baby"" Cortez",Rinky Dink
60,Henry Mancini,Moon River
61,Ray Stevens,Ahab The Arab
62,Bobby Darin,Things
63,Gene Pitney,The Man Who Shot Liberty Valance
64,Duprees,You Belong To Me
65,Roy Orbison,Dream Baby
66,Joe Henderson,Snap Your Fingers
67,Dion,Lovers Who Wander
68,Chris Montez,Let's Dance
69,Johnny Crawford,Cindy's Birthday
70,Mary Wells,You Beat Me To The Punch
71,Barbara Lynn,You'll Lose A Good Thing
72,Crystals,Uptown
73,Brenda Lee,Everybody Loves Me But You
74,Dickie Lee,Patches
75,Jimmy Clanton,Venus In Blue Jeans
76,Paul Anka,Love Me Warm And Tender
77,Rick Nelson,Teen Age Idol
78,Patsy Cline,She's Got You
79,Larry Finnegan,Dear One
80,James Darren,Her Royal Majesty
81,Walter Brennan,Old Rivers
82,Burl Ives,Funny Way Of Laughin'
83,Billy Vaughn,A Swingin' Safari
84,Dick and Deedee,Tell Me
85,Jimmy Dean,P.T. 109
86,Dion,Little Diane
87,Billy Joe and The Checkmates,Percolator (Twist)
88,Gary U.S. Bonds,"Twist, Twist Senora"
89,Jimmy Soul,Twistin' Matilda
90,Dee Dee Sharp,Gravy
91,Jimmy Smith,Walk On The Wild Side
92,King Curtis,Soul Twist
93,Bobby Rydell,I'll Never Dance Again
94,Ikettes,I'm Blue
95,Kingston Trio,Where Have All The Flowers Gone
96,Eddie Hodges,"(Girls, Girls, Girls) Were Made To Love"
97,Gene Pitney,Town Without Pity
98,"Peter, Paul and Mary",If I Had A Hammer
99,Ronnie and The Hi-lites,I Wish That We Were Married
100,Beach Boys,Surfin' Safari
