Position,Artist,Song Title
1,Johnny Horton,The Battle Of New Orleans
2,Bobby Darin,Mack The Knife
3,Lloyd Price,Personality
4,Frankie Avalon,Venus
5,Paul Anka,Lonely Boy
6,Bobby Darin,Dream Lover
7,Browns,The Three Bells
8,Fleetwoods,Come Softly To Me
9,Wilbert Harrison,Kansas City
10,Fleetwoods,Mr. Blue
11,Santo and Johnny,Sleep Walk
12,Paul Anka,Put Your Head On My Shoulder
13,Lloyd Price,Stagger Lee
14,Ritchie Valens,Donna
15,Dodie Stevens,Pink Shoelaces
16,Platters,Smoke Gets In Your Eyes
17,Coasters,Charlie Brown
18,Martin Denny,Quiet Village
19,Carl Dobkins Jr.,My Heart Is An Open Book
20,Everly Brothers,('Til) I Kissed You
21,Phil Phillips and The Twilights,Sea Of Love
22,"Dave ""Baby"" Cortez",The Happy Organ
23,Lloyd Price,I'm Gonna Get Married
24,Impalas,Sorry (I Ran All The Way Home)
25,Dion and The Belmonts,A Teenager In Love
26,Crests,16 Candles
27,Brook Benton,It's Just A Matter Of Time
28,Connie Francis,Lipstick On Your Collar
29,Drifters,There Goes My Baby
30,Elvis Presley,A Big Hunk O' Love
31,Johnny and The Hurricanes,Red River Rock
32,Stonewall Jackson,Waterloo
33,Sammy Turner,Lavender Blue (Dilly Dilly)
34,Elvis Presley,(Now And Then There's) A Fool Such As I
35,Virtues,Guitar Boogie Shuffle
36,Sandy Nelson,Teen Beat
37,Edward Burns and Connie Stevens,Kookie Kookie (Lend Me Your Comb)
38,Thomas Wayne,Tragedy
39,Connie Francis,My Happiness
40,Freddie Cannon,Talahassee Lassie
41,Fabian,Tiger
42,Ricky Nelson,Never Be Anyone Else But You
43,Della Reese,Don't You Know
44,Elvis Presley,I Need Your Love Tonight
45,Dinah Washington,What A Diff'rence A Day Makes
46,Bill Parsons,The All American Boy
47,Jerry Wallace,Primrose Lane
48,David Seville and The Chipmunks,Alvin's Harmonica
49,Andy Williams,Lonely Street
50,Ray Charles,What'd I Say
51,Sarah Vaughan,Broken-hearted Melody
52,Franck Pourcel,Only You
53,Billy Grammer,Gotta Travel On
54,Coasters,Poison Ivy
55,Fabian,Turn Me Loose
56,Jackie Wilson,Lonely Teardrops
57,Andy Williams,Hawaiian Wedding Song
58,Duane Eddy,Forty Miles Of Bad Road
59,Frankie Avalon,Just Ask Your Heart
60,Travis and Bob,Tell Him No
61,Connie Francis,Frankie
62,Bell Notes,I've Had It
63,Lavern Baker,I Cried A Tear
64,Platters,Enchanted
65,Skyliners,Since I Don't Have You
66,Ray Anthony,Peter Gunn Theme
67,David Seville and The Chipmunks,The Chipmunk Song
68,Fats Domino,I Want To Walk You Home
69,Fiestas,So Fine
70,Frankie Avalon,Bobby Sox To Stockings
71,Wink Martindale,Deck Of Cards
72,Clyde Mcphatter,A Lover's Question
73,Flamingos,I Only Have Eyes For You
74,Ricky Nelson,It's Late
75,Chris Barber's Jazz Band,Petite Fleur
76,Annette,Tall Paul
77,Kingston Trio,The Tijuana Jail
78,Ricky Nelson,Just A Little Too Much
79,Jack Scott,Goodbye Baby
80,Coasters,Along Came Jones
81,Tommy Dee and Carol Kay,Three Stars
82,Frankie Avalon,A Boy Without A Girl
83,Ricky Nelson,Sweeter Than You
84,Skip and Flip,It Was I
85,Kathy Linden,"Goodbye, Jimmy, Goodbye"
86,Reg Owens Orch.,Manhattan Spiritual
87,Brook Benton,Endlessly
88,Guy Mitchell,Heartaches By The Number
89,Frankie Ford,Sea Cruise
90,Jackie Wilson,That's Why
91,Falcons,You're So Fine
92,Bobby Rydell,Kissin' Time
93,Elvis Presley,My Wish Came True
94,Ivo Robic,Morgen
95,Jan and Dean,Baby Talk
96,Preston Epps,Bongo Rock
97,Everly Brothers,Take A Message To Mary
98,Mormon Tabernacle Choir,Battle Hymn Of The Republic
99,Ernie Fields Orchestra,In The Mood
100,Paul Evans and The Curls,(Seven Little Girls) Sitting In The Back Seat
