Position,Artist,Song Title
1,Whitney Houston,I Will Always Love You
2,Tag Team,Whoomp! (There It Is)
3,UB40,Can't Help Falling In Love
4,Janet Jackson,That's The Way Love Goes
5,Silk,Freak Me
6,SWV,Weak
7,Shai,If I Ever Fall In Love
8,Mariah Carey,Dreamlover
9,Wreckx-N-Effect,Rump Shaker
10,Snow,Informer
11,Dr. Dre,"Nuthin' But A ""G"" Thang"
12,Boyz II Men,In The Still Of The Nite
13,Jade,Don't Walk Away
14,H-Town,Knockin' Da Boots
15,Jodeci,Lately
16,Duice,Dazzey Duks
17,Robin S.,Show Me Love
18,Peabo Bryson and Regina Belle,A Whole New World
19,Janet Jackson,If
20,SWV,I'm So Into You
21,Vanessa Willlams and Brian Mcknight,Love Is
22,Soul Asylum,Runaway Train
23,Expose,I'll Never Get Over You (Getting Over Me)
24,Paperboy,Ditty
25,Snap,Rhythm Is A Dancer
26,Billy Joel,The River Of Dreams
27,Proclaimers,I'm Gonna Be (500 Miles)
28,Spin Doctors,Two Princes
29,SWV,Right Here (Human Nature)-Downtown
30,Whitney Houston,I Have Nothing
31,Arrested Development,Mr. Wendal
32,Rod Stewart,Have I Told You Lately
33,Shanice,Saving Forever For You
34,Duran Duran,Ordinary World
35,Tony! Toni! Tone!,If I Had No Loot
36,Meat Loaf,I'd Do Anything For Love (But I Won't Do That)
37,Onyx,Slam
38,P.M. Dawn,Looking Through Patient Eyes
39,Whitney Houston,I'm Every Woman
40,Shai,Baby I'm Yours
41,Duran Duran,Come Undone
42,Tina Turner,I Don't Wanna Fight
43,P.M. Dawn,I'd Die Without You
44,95 South,"Whoot, There It Is"
45,Naughty By Nature,Hip Hop Hooray
46,Toni Braxton,Another Sad Love Song
47,Michael Jackson,Will You Be There
48,Shil,Comforter
49,Bobby Brown,Good Enough
50,4 Non Blondes,What's Up
51,Ace Of Base,All That She Wants
52,Prince and The New Power Generation,7
53,Dr. Dre,Dre Day
54,Brian McKnight,One Last Cry
55,Xscape,Just Kickin' It
56,2Pac,I Get Around
57,Bon Jovi,Bed Of Roses
58,Mary J. Blige,Real Love
59,Portrait,Here We Go Again!
60,Aerosmith,Cryin'
61,Ugly Kid Joe,Cats In The Cradle
62,TLC,What About Your Friends
63,Positive K,I Got A Man
64,Zhane,Hey Mr. D.J.
65,Cypress Hill,Insane In The Brain
66,Madonna,Deeper And Deeper
67,Madonna,Rain
68,Jeremy Jordan,The Right Kind Of Love
69,Inner Circle,Bad Boys
70,Boy Krazy,That's What Love Can Do
71,Jon Secada,Do You Believe In Us
72,Jon Secada,Angel
73,Kenny G,Forever In Love
74,Janet Jackson,Again
75,Jazzy Jeff and Fresh Prince,Boom! Shake The Room
76,Restless Heart,When She Cries
77,Inner Circle,Sweat (A La La La La Long)
78,Ice Cube,It Was A Good Day
79,Captain Hollywood Project,More And More
80,Heights,How Do You Talk To An Angel
81,Digable Planets,Rebirth Of Slick (Cool Like Dat)
82,Haddaway,What Is Love
83,Michael Bolton,To Love Somebody
84,En Vogue,"Give It Up, Turn It Loose"
85,Kris Kross,Alright
86,Ice Cube,Check Yo Self
87,Sting,Fields Of Gold
88,Dino,Ooh Child
89,Go West,Faithful
90,Rod Stewart,Reason To Believe
91,Tears For Fears,Break It Down Again
92,Joey Lawrence,Nothin' My Love Can't Fix
93,Green Jelly,Three Little Pigs
94,Aerosmith,Livin' On The Edge
95,Gin Blossoms,Hey Jealousy
96,Sting,If I Ever Lose My Faith In You
97,Tony! Toni! Tone!,Anniversary
98,Jade,One Woman
99,Taylor Dayne,Can't Get Enough Of Your Love
100,Def Leppard,Two Steps Behind
