Position,Artist,Song Title
1,Macklemore and Ryan Lewis feat. Wanz,Thrift Shop
2,Robin Thicke feat. T.I. and Pharrell,Blurred Lines
3,Imagine Dragons,Radioactive
4,Baauer,Harlem Shake
5,Macklemore and Ryan Lewis feat. Ray Dalton,Can't Hold Us
6,Justin Timberlake,Mirrors
7,P!nk feat. Nate Ruess,Just Give Me A Reason
8,Bruno Mars,When I Was Your Man
9,Florida Georgia Line feat. Nelly,Cruise
10,Katy Perry,Roar
11,Bruno Mars,Locked Out Of Heaven
12,Lumineers,Ho Hey
13,Rihanna feat. Mikky Ekko,Stay
14,Daft Punk feat. Pharrell Williams,Get Lucky
15,Lorde,Royals
16,Taylor Swift,I Knew You Were Trouble
17,Miley Cyrus,We Can't Stop
18,Miley Cyrus,Wrecking Ball
19,Avicii,Wake Me Up!
20,Justin Timberlake feat. Jay Z,Suit and Tie
21,Anna Kendrick,Cups (Pitch Perfect's When I'm Gone)
22,Jay Z feat. Justin Timberlake,Holy Grail
23,will.i.am and Britney Spears,Scream and Shout
24,Zedd feat. Foxes,Clarity
25,AWOLNATION,Sail
26,Swedish House Mafia feat. John Martin,Don't You Worry Child
27,Rihanna,Diamonds
28,Icona Pop feat. Charli XCX,I Love It
29,Capital Cities,Safe And Sound
30,Bruno Mars,Treasure
31,Ariana Grande feat. Mac Miller,The Way
32,Drake,Started From The Bottom
33,Selena Gomez,Come and Get It
34,Drake feat. Majid Jordan,"Hold On, We're Going Home"
35,Maroon 5,Daylight
36,Pitbull feat. Christina Aguilera,Feel This Moment
37,Lady Gaga,Applause
38,Maroon 5,One More Night
39,Lil Wayne feat. Drake and Future,Love Me
40,Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up)
41,"A$AP Rocky feat. Drake, 2 Chainz and Kendrick Lamar",F**kin Problems
42,Justin Bieber feat. Nicki Minaj,Beauty And A Beat
43,Macklemore and Ryan Lewis feat. Mary Lambert,Same Love
44,Calvin Harris feat. Florence Welch,Sweet Nothing
45,Lana Del Rey and Cedric Gervais,Summertime Sadness
46,Phillip Phillips,Home
47,Imagine Dragons,It's Time
48,J. Cole feat. Miguel,Power Trip
49,Alicia Keys feat. Nicki Minaj,Girl On Fire
50,Demi Lovato,Heart Attack
51,Maroon 5,Love Somebody
52,Mumford and Sons,I Will Wait
53,P!nk,Try
54,Darius Rucker,Wagon Wheel
55,Psy,Gangnam Style
56,Calvin Harris feat. Ellie Goulding,I Need Your Love
57,Ke$ha,Die Young
58,fun.,Some Nights
59,Wale feat. Tiara Thomas or Rihanna,Bad
60,Blake Shelton feat. Pistol Annies and Friends,Boys 'Round Here
61,Phillip Phillips,"Gone, Gone, Gone"
62,Imagine Dragons,Demons
63,OneRepublic,Counting Stars
64,Flo Rida,I Cry
65,Of Monsters And Men,Little Talks
66,Jason Derulo,The Other Side
67,Eminem,Berzerk
68,Kelly Clarkson,Catch My Breath
69,Luke Bryan,Crash My Party
70,Rihanna,Pour It Up
71,Taylor Swift,22
72,Hunter Hayes,I Want Crazy
73,Ylvis,The Fox
74,One Direction,Best Song Ever
75,Ed Sheeran,The A Team
76,fun.,Carry On
77,Tim McGraw with Taylor Swift,Highway Don't Care
78,Luke Bryan,That's My Kind Of Night
79,Kendrick Lamar,Swimming Pools (Drank)
80,Blake Shelton,Sure Be Cool If You Did
81,Mariah Carey feat. Miguel,#Beautiful
82,Olly Murs feat. Flo Rida,Troublemaker
83,Ciara,Body Party
84,Miguel,Adorn
85,Script feat. will.i.am,Hall Of Fame
86,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself)
87,Rocko feat. Future and Rick Ross,U.O.E.N.O.
88,Emeli Sande,Next To Me
89,Miranda Lambert,Mama's Broken Heart
90,Thomas Rhett,It Goes Like This
91,Ace Hood feat. Future and Rick Ross,Bugatti
92,Hunter Hayes,Wanted
93,Lady Antebellum,Downtown
94,Florida Georgia Line,Get Your Shine On
95,will.i.am feat. Justin Bieber,#thatPOWER
96,Sara Bareilles,Brave
97,Passenger,Let Her Go
98,Randy Houser,Runnin' Outta Moonlight
99,2 Chainz,I'm Different
100,Paramore,Still Into You
