Position,Artist,Song Title
1,Andy Gibb,Shadow Dancing
2,Bee Gees,Night Fever
3,Debby Boone,You Light Up My Life
4,Bee Gees,Stayin' Alive
5,Exile,Kiss You All Over
6,Bee Gees,How Deep Is Your Love
7,Player,Baby Come Back
8,Andy Gibb,(Love Is) Thicker Than Water
9,A Taste Of Honey,Boogie Oogie Oogie
10,Commodores,Three Times A Lady
11,Frankie Valli,Grease
12,Paul Davis,I Go Crazy
13,John Travolta and Olivia Newton-John,You're The One That I Want
14,Samantha Sang,Emotion
15,Eric Clapton,Lay Down Sally
16,Rolling Stones,Miss You
17,Billy Joel,Just The Way You Are
18,Wings,With A Little Luck
19,Yvonne Elliman,If I Can't Have You
20,Chic,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)"
21,Chuck Mangione,Feels So Good
22,Nick Gilder,Hot Child In The City
23,Sweet,Love Is Like Oxygen
24,Bonnie Tyler,It's A Heartache
25,Queen,We Will Rock You / We Are The Champions
26,Gerry Rafferty,Baker Street
27,Barry Manilow,Can't Smile Without You
28,Johnny Mathis and Deniece Williams,"Too Much, Too Little, Too Late"
29,Peter Brown,Dance With Me
30,Meat Loaf,Two Out Of Three Ain't Bad
31,Raydio,Jack And Jill
32,ABBA,Take A Chance On Me
33,Dan Hill,Sometimes When We Touch
34,Donna Summer,Last Dance
35,Olivia Newton-John,Hopelessly Devoted To You
36,Foreigner,Hot Blooded
37,Rod Stewart,You're In My Heart
38,Roberta Flack and Donny Hathaway,The Closer I Get To You
39,Kansas,Dust In The Wind
40,Walter Egan,Magnet And Steel
41,Randy Newman,Short People
42,O'Jays,Use Ta Be My Girl
43,Natalie Cole,Our Love
44,Pablo Cruise,Love Will Find A Way
45,Andy Gibb,An Everlasting Love
46,John Paul Young,Love Is In The Air
47,David Gates,Goodbye Girl
48,Paul Simon,Slip Slidin' Away
49,Heatwave,The Groove Line
50,Jay Ferguson,Thunder Island
51,Atlanta Rhythm Section,Imaginary Lover
52,Bob Seger and The Silver Bullet Band,Still The Same
53,Toby Beau,My Angel Baby
54,Trammps,Disco Inferno
55,George Benson,On Broadway
56,Styx,Come Sail Away
57,L.T.D.,Back In Love Again
58,Player,This Time I'm In It For Love
59,Carly Simon,You Belong To Me
60,Dolly Parton,Here You Come Again
61,Linda Ronstadt,Blue Bayou
62,Steely Dan,Peg
63,Anne Murray,You Needed Me
64,"Evelyn ""Champagne"" King",Shame
65,Little River Band,Reminiscing
66,Jefferson Starship,Count On Me
67,Eddie Money,Baby Hold On
68,Shaun Cassidy,Hey Deanie
69,John Travolta and Olivia Newton-john,Summer Nights
70,Lynyrd Skynyrd,What's Your Name
71,Crystal Gayle,Don't It Make My Brown Eyes Blue
72,Patti Smith,Because The Night
73,Robert Palmer,Every Kinda People
74,Barry Manilow,Copacabana
75,Heatwave,Always And Forever
76,Rick James,You And I
77,"Earth, Wind and Fire",Serpentine Fire
78,Bob Welch,Sentimental Lady
79,LeBlanc and Carr,Falling
80,Santa Esmeralda,Dont Let Me Be Misunderstood
81,Michael Johnson,Bluer Than Blue
82,Jackson Browne,Running On Empty
83,Kenny Loggins,"Whenever I Call You ""Friend"""
84,Chris Rea,Fool (If You Think It's Over)
85,Foxy,Get Off
86,Electric Light Orchestra,Sweet Talking Woman
87,Joe Walsh,Life's Been Good
88,Alicia Bridges,I Love The Night Life
89,High Inergy,You Can't Turn Me Off (In The Middle Of Turning Me On)
90,Linda Ronstadt,It's So Easy
91,Odyssey,Native New Yorker
92,Parliament,Flashlight
93,Boston,Don't Look Back
94,Electric Light Orchestra,Turn To Stone
95,Eruption,I Can't Stand The Rain
96,Bob Welch,Ebony Eyes
97,ABBA,The Name Of The Game
98,Rita Coolidge,We're All Alone
99,Bob Seger and The Silver Bullet Band,Hollywood Nights
100,Steely Dan,Deacon Blues
