Position,Artist,Song Title
1,Domenico Modugno,Volare (Nel Blu Dipinto Di Blu)
2,Everly Brothers,All I Have To Do Is Dream / Claudette
3,Elvis Presley,Don't / I Beg Of You
4,David Seville,Witch Doctor
5,Perez Prado,Patricia
6,Billy Vaughn,Sail Along Silvery Moon / Raunchy
7,Perry Como,Catch A Falling Star / Magic Moments
8,Champs,Tequila
9,Tommy Edwards,It's All In The Game
10,Dean Martin,Return To Me
11,Conway Twitty,It's Only Make Believe
12,Sheb Wooley,The Purple People Eater
13,Everly Brothers,Bird Dog / Devoted To You
14,Silhouettes,Get A Job
15,Elegants,Little Star
16,Ricky Nelson,Stood Up / Waitin' In School
17,Laurie London,He's Got The Whole World In His Hands
18,Platters,Twilight Time
19,Jimmie Rodgers,Secretly
20,Danny and The Juniors,At The Hop
21,Coasters,Yakety Yak
22,Elvis Presley,Wear My Ring Around Your Neck / Doncha' Think It's Time
23,Ricky Nelson,Poor Little Fool
24,Pat Boone,Wonderful Time Up There / It's Too Soon To Know
25,Jimmy Clanton,Just A Dream
26,McGuire Sisters,Sugartime
27,Bobby Day,Rockin Robbin / Over And Over
28,Kingston Trio,Tom Dooley
29,Chuck Berry,Sweet Little Sixteen
30,Cozy Cole,Topsy II / Topsy I
31,Nat King Cole,Looking Back / Do I Like It
32,Monotones,Book Of Love
33,Tommy Dorsey Orch. and Warren Covington,Tea For Two Cha Cha
34,Little Anthony and The Imperials,Tears On My Pillow
35,Royal Teens,Short Shorts
36,Jerry Lee Lewis,Great Balls Of Fire
37,Chordettes,Lollipop
38,Bobby Darin,Splish Splash
39,Connie Francis,Who's Sorry Now
40,Jack Scott,My True Love / Leroy
41,Jody Reynolds,Endles Sleep
42,Bobby Freeman,Do You Want To Dance?
43,Kalin Twins,When
44,Teddy Bears,To Know Him Is To Love Him
45,Pat Boone,April Love
46,Duane Eddy,Rebel-'Rouser
47,Crescendos,Oh Julie
48,Diamonds,The Stroll
49,Elvis Presley,Hard-Headed Woman / Don't Ask Me Why
50,Buddy Holly,Peggy Sue
51,Don Gibson,Oh Lonesome Me
52,Big Bopper,Chantilly Lace
53,Rick Nelson,Lonesome Town
54,Frank Sinatra,All the Way
55,Elvis Presley,One Night
56,Robin Luke,Susie Darlin'
57,Four Preps,26 Miles
58,Earl Grant,The End
59,Jimmie Rodgers,Kisses Sweeter Than Wine
60,Playmates,Beep Beep (The Little Nash Rambler)
61,Mitch Miller,March From the River Kwai and Colonel Bogey March
62,Everly Brothers,Problems
63,Bobby Darin,Queen of the Hop
64,Will Glahe,Liechtensteiner Polka
65,Elvis Presley,I Got Stung
66,Andy Williams,Are You Sincere
67,Ricky Nelson,I Got a Feeling
68,Poni Tails,Born Too Late
69,Johnny Otis Show,Willie and the Hand Jive
70,Four Preps,Big Man
71,Crickets,Oh Boy
72,Chuck Willis,What Am I Living For
73,Chuck Berry,Johnny B Goode
74,Eddie Cochran,Summertime Blues
75,Roger Williams,Near You
76,Peggy Lee,Fever
77,Ed Townsend,For Your Love
78,Paul Anka,You Are My Destiny
79,Art and Dotty Todd,Chanson D'Amour
80,Lou Monte,Lazy Mary
81,Johnny Cash,Ballad of a Teenage Queen
82,Pat Boone,It's Too Soon to Know
83,Jimmy McCracklin,The Walk
84,Perry Como,Kewpie Doll
85,George Hamilton Iv,Why Don't They Understand
86,Frankie Avalon,Dede Dinah
87,Pat Boone,Sugar Moon
88,Everly Brothers,Devoted to You
89,Chantels,Maybe
90,Kathy Linden,Billy
91,Johnny Cash,Guess Things Happen That Way
92,Olympics,Western Movies
93,Roy Hamilton,Don't Let Go
94,Hollywood Flames,Buzz-Buzz-Buzz
95,Jerry Lee Lewis,Breathless
96,Jan and Arnie,Jennie Lee
97,Royaltones,Poor Boy
98,Marty Robins,The Story of My Life
99,Frankie Avalon,I'll Wait For You
100,Frankie Avalon,Ginger Bread
