Position,Artist,Song Title
1,Sam The Sham and The Pharaohs,Wooly Bully
2,Four Tops,I Can't Help Myself (Sugar Pie Honey Bunch)
3,Rolling Stones,(I Can't Get No) Satisfaction
4,We Five,You Were On My Mind
5,Righteous Brothers,You've Lost That Lovin' Feelin'
6,Petula Clark,Downtown
7,Beatles,Help!
8,Herman's Hermits,Can't You Hear My Heartbeat
9,Elvis Presley,Crying In The Chapel
10,Temptations,My Girl
11,Beach Boys,"Help Me, Rhonda"
12,Roger Miller,King Of The Road
13,Jewel Aikens,The Birds And The Bees
14,Mel Carter,"Hold Me, Thrill Me, Kiss Me"
15,Jr. Walker and The All Stars,Shotgun
16,Sonny and Cher,I Got You Babe
17,Gary Lewis and The Playboys,This Diamond Ring
18,Ramsey Lewis Trio,"The ""In"" Crowd"
19,Herman's Hermits,Mrs. Brown You've Got A Lovely Daughter
20,Supremes,Stop! In The Name Of Love
21,Righteous Brothers,Unchained Melody
22,Herman's Hermits,Silhouettes
23,Seekers,I'll Never Find Another You
24,Jay and The Americans,"Cara, Mia"
25,Byrds,Mr. Tambourine Man
26,Sounds Orchestral,Cast Your Fate To The Wind
27,Barbara Mason,"Yes, I'm Ready"
28,Tom Jones,What's New Pussycat?
29,Barry McGuire,Eve Of Destruction
30,McCoys,Hang On Sloopy
31,Beatles,Ticket To Ride
32,Bert Kaempfert and His Orch.,Red Roses For A Blue Lady
33,James Brown and The Famous Flames,Papa's Got A Brand New Bag
34,Wayne Fontana and The Mindbenders,Game Of Love
35,Shirley Ellis,The Name Game
36,Petula Clark,I Know A Place
37,Supremes,Back In My Arms Again
38,Barbara Lewis,Baby I'm Yours
39,Kingsmen,The Jolly Green Giant
40,Patti Page,"Hush, Hush, Sweet Charlotte"
41,Bob Dylan,Like A Rolling Stone
42,Freddie and The Dreamers,I'm Telling You Now
43,Gerry and The Pacemakers,Ferry Cross The Mersey
44,Righteous Brothers,Just Once In My Life
45,Johnny Rivers,Seventh Son
46,Herman's Hermits,"I'm Henry VIII, I Am"
47,Horst Jankowski,A Walk In The Black Forest
48,Yardbirds,For Your Love
49,Beach Boys,California Girls
50,Moody Blues,Go Now
51,Shirley Bassey,Goldfinger
52,Billy Joe Royal,Down In The Boondocks
53,Glenn Yarbrough,Baby The Rain Must Fall
54,Dave Clark Five,Catch Us If You Can
55,Beatles,Eight Days A Week
56,Beau Brummels,Just A Little
57,Ian Whitcomb,You Turn Me On
58,Marvin Gaye,I'll Be Doggone
59,Gary Lewis and The Playboys,Save Your Heart For Me
60,Kinks,Tired Of Waiting For You
61,Gary Lewis and The Playboys,Count Me In
62,Kinks,All Day And All Of The Night
63,Jackie DeShannon,What The World Needs Now Is Love
64,Tom Jones,It's Not Unusual
65,Sir Douglas Quintet,She's About A Mover
66,Sam Cooke,Shake
67,Herman's Hermits,Wonderful World
68,Martha and The Vandellas,Nowhere To Run
69,Yardbirds,Heart Full Of Soul
70,Searchers,Love Potion Number Nine
71,Dickle Lee,Laurie (Strange Things Happen)
72,Sonny and Cher,Baby Don't Go
73,Turtles,It Ain't Me Babe
74,Zombies,Tell Her No
75,Peter and Gordon,I Go To Pieces
76,Vic Dana,Red Roses For A Blue Lady
77,Patty Duke,Don't Just Stand There
78,Miracles,The Tracks Of My Tears
79,Brenda Lee,Too Many Rivers
80,Dave Clark Five,I Like It Like That
81,Bobby Goldsboro,Little Things
82,Peter and Gordon,True Love Ways
83,Four Tops,It's The Same Old Song
84,Fortunes,You've Got Your Troubles
85,Joe Tex,Hold What You've Got
86,Animals,We Gotta Get Out Of This Place
87,Beau Brummels,"Laugh, Laugh"
88,Rolling Stones,The Last Time
89,Lovin' Spoonful,Do You Believe In Magic
90,Cher,All I Really Want To Do
91,Little Anthony and The Imperials,Take Me Back
92,Strangeloves,I Want Candy
93,Miracles,Ooo Baby Baby
94,Sonny,Laugh At Me
95,Roy Head,Treat Her Right
96,Jack Jones,The Race Is On
97,"Dino, Desi and Billy",I'm A Fool
98,Ad Libs,The Boy From New York City
99,Del Shannon,Keep Searchin'
100,Marvin Gaye,How Sweet It Is (To Be Loved By You)
