Position,Artist,Song Title
1,Nat King Cole,Too Young
2,Tony Bennett,Because Of You
3,Les Paul and Mary Ford,How High The Moon
4,Rosemary Clooney,Come On-a My House
5,Mario Lanza,Be My Love
6,Weavers,On Top Of Old Smoky
7,Tony Bennett,"Cold, Cold Heart"
8,Perry Como,If
9,Mario Lanza,Loveliest Night Of The Year
10,Patti Page,Tennessee Waltz
11,Frankie Laine,Jezebel
12,Tony Martin,I Get Ideas
13,Les Paul and Mary Ford,Mockin' Bird Hill
14,Patti Page,Mockin' Bird Hill
15,Guy Mitchell and Mitch Miller,My Heart Cries For You
16,Eddy Howard,(It's No) Sin
17,Vaughn Monroe,Sound Off
18,Dinah Shore,Sweet Violets
19,Les Paul and Mary Ford,The World Is Waiting For The Sunrise
20,Guy Mitchell and Mitch Miller,"My Truly, Truly Fair"
21,Four Aces and Al Alberta,(It's No) Sin
22,Debbie Reynolds and Carleton Carpenter,Aba Daba Honeymoon
23,Frankie Laine,"Rose, Rose I Love You"
24,Del Wood,Down Yonder
25,Billy Eckstine,I Apologize
26,Patti Page,Would I Love You
27,Perry Como and The Fontane Sisters,You're Just In Love
28,Ames Brothers and Les Brown,Undecided
29,Phil Harris,The Thing
30,Les Baxter,Because Of You
