Position,Artist,Song Title
1,Bangles,Walk Like An Egyptian
2,Heart,Alone
3,Gregory Abbott,Shake You Down
4,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me)
5,Starship,Nothing's Gonna Stop Us Now
6,Robbie Nevil,C'est La Vie
7,Whitesnake,Here I Go Again
8,Bruce Hornsby and The Range,The Way It Is
9,Bob Seger,Shakedown
10,Bon Jovi,Livin' On A Prayer
11,Los Lobos,La Bamba
12,Wang Chung,Everybody Have Fun Tonight
13,Crowded House,Don't Dream It's Over
14,Atlantic Starr,Always
15,U2,With Or Without You
16,Jody Watley,Looking For A New Love
17,Lisa Lisa and Cult Jam,Head To Toe
18,Tiffany,I Think We're Alone Now
19,Billy Idol,Mony Mony
20,Billy Vera and The Beaters,At This Moment
21,Chris De Burgh,The Lady In Red
22,Whitney Houston,Didn't We Almost Have It All
23,U2,I Still Haven't Found What I'm Looking For
24,George Michael,I Want Your Sex
25,Duran Duran,Notorious
26,Debbie Gibson,Only In My Dreams
27,Bill Medley and Jennifer Warnes,(I've Had) The Time Of My Life
28,Peter Cetera and Amy Grant,The Next Time I Fall
29,Club Nouveau,Lean On Me
30,Madonna,Open Your Heart
31,Lisa Lisa and Cult Jam,Lost In Emotion
32,Cutting Crew,(I Just) Died In Your Arms
33,T'pau,Heart And Soul
34,Kim Wilde,You Keep Me Hangin' On
35,Georgia Satellites,Keep Your Hands To Yourself
36,Aretha Franklin and George Michael,I Knew You Were Waiting (For Me)
37,Janet Jackson,Control
38,Prince,U Got The Look
39,Linda Ronstadt and James Ingram,Somewhere Out There
40,Genesis,Land Of Confusion
41,Huey Lewis and The News,Jacob's Ladder
42,Madonna,Who's That Girl
43,Jets,You Got It All
44,Samantha Fox,Touch Me (I Want Your Body)
45,Michael Jackson and Siedah Garrett,I Just Can't Stop Loving You
46,Madonna,Causing A Commotion
47,Genesis,In Too Deep
48,Janet Jackson,Let's Wait Awhile
49,Huey Lewis and The News,Hip To Be Square
50,Chicago,Will You Still Love Me?
51,Fleetwood Mac,Little Lies
52,Suzanne Vega,Luka
53,Bananarama,I Heard A Rumour
54,Richard Marx,Don't Mean Nothing
55,Kenny G,Songbird
56,Europe,Carrie
57,System,Don't Disturb This Groove
58,Madonna,La Isla Bonita
59,Michael Jackson,Bad
60,Prince,Sign 'O' The Times
61,Cyndi Lauper,Change Of Heart
62,Expose,Come Go With Me
63,Dan Hill,Can't We Try
64,Billy Idol,To Be A Lover
65,Bruce Hornsby and The Range,Mandolin Rain
66,Swing Out Sister,Breakout
67,Ben E. King,Stand By Me
68,Genesis,"Tonight, Tonight, Tonight"
69,Glass Tiger,Someday
70,ABC,When Smokey Sings
71,Levert,Casanova
72,Gloria Estefan and Miami Sound Machine,Rhythm Is Gonna Get You
73,Whispers,Rock Steady
74,Bon Jovi,Wanted Dead Or Alive
75,Peter Gabriel,Big Time
76,Steve Winwood,The Finer Things
77,Expose,Let Me Be The One
78,Survivor,Is This Love
79,Herb Alpert,Diamonds
80,Expose,Point Of No Return
81,Fleetwood Mac,Big Love
82,Lou Gramm,Midnight Blue
83,Crowded House,Something So Strong
84,Bryan Adams,Heat Of The Night
85,Glenn Medeiros,Nothing's Gonna Change My Love For You
86,Bruce Springsteen,Brilliant Disguise
87,Smokey Robinson,Just To See Her
88,Heart,Who Will You Run Too
89,Bruce Willis,Respect Yourself
90,Jets,Cross My Broken Heart
91,Kool and The Gang,Victory
92,Pretenders,Don't Get Me Wrong
93,Huey Lewis and The News,Doing It All For My Baby
94,Breakfast Club,Right On Track
95,Lionel Richie,Ballerina Girl
96,Kenny Loggins,Meet Me Half Way
97,Cutting Crew,I've Been In Love Before
98,Beastie Boys,(You Gotta) Fight For Your Right (To Party)
99,Pseudo Echo,Funkytown
100,Ready For The World,Love You Down
