Position,Artist,Song Title
1,Bobby Lewis,Tossin' And Turnin'
2,Patsy Cline,I Fall To Pieces
3,Highwaymen,Michael
4,Roy Orbison,Cryin'
5,Del Shannon,Runaway
6,Jive Five,My True Story
7,Chubby Checker,Pony Time
8,String-a-longs,Wheels
9,Dee Clark,Raindrops
10,Joe Dowell,Wooden Heart (Muss I Denn)
11,Lawrence Welk,Calcutta
12,Bobby Vee,Take Good Care Of My Baby
13,Roy Orbison,Running Scared
14,Shirelles,Dedicated To The One I Love
15,Mar-Keys,Last Night
16,Shirelles,Will You Love Me Tomorrow
17,Ferrante and Teicher,Exodus
18,Connie Francis,Where The Boys Are
19,Ray Charles,Hit The Road Jack
20,Sue Thompson,Sad Movies (Make Me Cry)
21,Ernie K-Doe,Mother-In-Law
22,Dovells,Bristol Stomp
23,Ricky Nelson,Travelin' Man
24,Miracles,Shop Around
25,Brook Benton,The Boll Weevil Song
26,Gene Mcdaniels,A Hundred Pounds Of Clay
27,Dick and Deedee,The Mountain's High
28,Marty Robbins,Don't Worry
29,Floyd Cramer,On The Rebound
30,Steve Lawrence,Portrait Of My Love
31,"Gary ""U.S."" Bonds",Quarter To Three
32,Barry Mann,"Who Put The Bomp (In The Bomp, Bomp, Bomp)"
33,Neil Sedaka,Calendar Girl
34,Chris Kenner,I Like It Like That
35,Jorgen Ingmann,Apache
36,Linda Scott,Don't Bet Money Honey
37,Johnny Tillotson,Without You
38,Ferlin Husky,Wings Of A Dove
39,Elvis Presley,Little Sister
40,Marcels,Blue Moon
41,Shep and The Limelites,Daddy's Home
42,Troy Shondell,This Time
43,"Clarence ""Frog Man"" Henry",I Don't Know Why But I Do
44,Kokomo,Asia Minor
45,Faron Young,Hello Walls
46,Dion,Runaround Sue
47,Arthur Lyman,Yellow Bird
48,Timi Yuro,Hurt
49,Ricky Nelson,Hello Mary Lou
50,Capris,There's A Moon Out Tonight
51,Elvis Presley,Surrender
52,Paris Sisters,I Love How You Love Me
53,Lee Dorsey,Ya Ya
54,"Gary ""U.S."" Bonds",School Is Out
55,Bob Moore,Mexico
56,Ral Donner,You Don't Know What You've Got (Until You Lose It)
57,Everly Brothers,Walk Right Back
58,Lettermen,The Way You Look Tonight
59,Pat Boone,Moody River
60,Ray Charles,One Mint Julep
61,Adam Wade,Take Good Care Of Her
62,Carla Thomas,Gee Whiz (Look At His Eyes)
63,Ben E. King,Stand By Me
64,Ben E. King,Spanish Harlem
65,Ike and Tina Turner,It's Gonna Work Out Fine
66,Echoes,Baby Blue
67,Buzz Clifford,Baby Sittin' Boogie
68,Del Shannon,Hats Off To Larry
69,Caesar and The Romans,Those Oldies But Goodies
70,Chubby Checker,The Fly
71,Elvis Presley,(Marie's The Name) His Latest Flame
72,Bert Kaempfert and His Orch.,Wonderland By Night
73,Tony Orlando,Bless You
74,Linda Scott,I've Told Every Little Star
75,Bobby Lewis,One Track Mind
76,Rosie and The Originals,Angel Baby
77,Curtis Lee,Pretty Little Angel Eyes
78,Brook Benton,Think Twice
79,Lonnie Donegan,Does Your Chewing Gum Lose Its Flavor (On The Bedpost Overnight)
80,Connie Francis,Breakin' In A Brand New Broken Heart
81,Shirelles,Mama Said
82,Fats Domino,Let The Four Winds Blow
83,Adam Wade,The Writing On The Wall
84,Matt Monroe,My Kind Of Girl
85,Paul Anka,"Tonight My Love, Tonight"
86,Jimmy Dean,Big Bad John
87,Bobby Rydell,Good Time Baby
88,Floyd Cramer,San Antonio Rose
89,Bobby Vee,Rubber Ball
90,Ray Peterson,Missing You
91,Brenda Lee,Dum Dum
92,Eddie Hodges,I'm Gonna Knock On Your Door
93,Brenda Lee,You Can Depend On Me
94,Chubby Checker,Let's Twist Again
95,Dave Brubeck,Take Five
96,Elvis Presley,Are You Lonesome Tonight
97,Don Gibson,Sea Of Heartbreak
98,Four Preps,More Money For You And Me Medley
99,Bobby Darin,You Must Have Been A Beautiful Baby
100,Drifters,Please Stay
