Position,Artist,Song Title
1,Wham!,Careless Whisper
2,Madonna,Like A Virgin
3,Wham!,Wake Me Up Before You Go-Go
4,Foreigner,I Want To Know What Love Is
5,Chaka Khan,I Feel For You
6,Daryl Hall and John Oates,Out Of Touch
7,Tears For Fears,Everybody Wants To Rule The World
8,Dire Straits,Money For Nothing
9,Madonna,Crazy For You
10,a-ha,Take On Me
11,Paul Young,Everytime You Go Away
12,Philip Bailey and Phil Collins,Easy Lover
13,REO Speedwagon,Can't Fight This Feeling
14,Starship,We Built This City
15,Huey Lewis and The News,The Power Of Love
16,Simple Minds,Don't You (Forget About Me)
17,Kool and The Gang,Cherish
18,John Parr,St. Elmo's Fire (Man In Motion)
19,Glenn Frey,The Heat Is On
20,U.S.A. For Africa,We Are The World
21,Tears For Fears,Shout
22,Stevie Wonder,Part-Time Lover
23,Whitney Houston,Saving All My Love For You
24,Bryan Adams,Heaven
25,Wham!,Everything She Wants
26,New Edition,Cool It Now
27,Jan Hammer,Miami Vice Theme
28,Billy Ocean,Loverboy
29,Teena Marie,Lover Girl
30,Glenn Frey,You Belong To The City
31,Ready For The World,Oh Sheila
32,Debarge,Rhythm Of The Night
33,Phil Collins,One More Night
34,Honeydrippers,Sea Of Love
35,Duran Duran,A View To A Kill
36,Duran Duran,The Wild Boys
37,Chicago,You're The Inspiration
38,Pointer Sisters,Neutron Dance
39,Pat Benatar,We Belong
40,Commodores,Nightshift
41,Howard Jones,Things Can Only Get Better
42,Jack Wagner,All I Need
43,Aretha Franklin,Freeway Of Love
44,Corey Hart,Never Surrender
45,Phil Collins,Sussudio
46,Sheena Easton,Strut
47,Whitney Houston,You Give Good Love
48,Survivor,The Search Is Over
49,Diana Ross,Missing You
50,Phil Collins and Marilyn Martin,Separate Lives
51,Prince and The Revolution,Raspberry Beret
52,Billy Ocean,Suddenly
53,Don Henley,The Boys Of Summer
54,Murray Head,One Night In Bangkok
55,Sting,If You Love Somebody Set Them Free
56,Animotion,Obsession
57,Tina Turner,We Don't Need Another Hero
58,Madonna,Material Girl
59,Tina Turner,Better Be Good To Me
60,Tears For Fears,Head Over Heels
61,Harold Faltermeyer,Axel F
62,Sade,Smooth Operator
63,Mary Jane Girls,In My House
64,Phil Collins,Don't Lose My Number
65,Cyndi Lauper,All Through The Night
66,Bryan Adams,Run To You
67,Bruce Springsteen,Glory Days
68,'Til Tuesday,Voices Carry
69,Kool and The Gang,Misled
70,Eurythmics,Would I Lie To You?
71,ABC,Be Near Me
72,Paul McCartney,No More Lonely Nights
73,Survivor,I Can't Hold Back
74,Bryan Adams,Summer Of '69
75,Katrina and The Waves,Walking On Sunshine
76,Wham!,Freedom
77,Julian Lennon,Too Late For Goodbyes
78,Julian Lennon,Valotte
79,Power Station,Some Like It Hot
80,Ashford and Simpson,Solid
81,Madonna,Angel
82,Bruce Springsteen,I'm On Fire
83,Daryl Hall and John Oates,Method Of Modern Love
84,Thompson Twins,Lay Your Hands On Me
85,Debarge,Who's Holding Donna Now
86,John Cougar Mellencamp,Lonely Ol' Night
87,Heart,What About Love
88,David Lee Roth,California Girls
89,Kool and The Gang,Fresh
90,Jermaine Jackson,Do What You Do
91,Time,Jungle Love
92,Bruce Springsteen,Born In The USA
93,Tina Turner,Private Dancer
94,Aretha Franklin,Who's Zoomin' Who
95,Sting,Fortress Around Your Heart
96,Lionel Richie,Penny Lover
97,Don Henley,All She Wants To Do Is Dance
98,Madonna,Dress You Up
99,Night Ranger,Sentimental Street
100,Sheena Easton,Sugar Walls
