Position,Artist,Song Title
1,Wings,Silly Love Songs
2,Elton John and Kiki Dee,Don't Go Breaking My Heart
3,Johnnie Taylor,Disco Lady
4,Four Seasons,"December, 1963 (Oh, What A Night)"
5,Wild Cherry,Play That Funky Music
6,Manhattans,Kiss And Say Goodbye
7,Miracles,Love Machine (Part 1)
8,Paul Simon,50 Ways To Leave Your Lover
9,Gary Wright,Love Is Alive
10,Walter Murphy and The Big Apple Band,A Fifth Of Beethoven
11,Daryl Hall and John Oates,Sara Smile
12,Starland Vocal Band,Afternoon Delight
13,Barry Manilow,I Write The Songs
14,Silver Convention,"Fly, Robin, Fly"
15,Diana Ross,Love Hangover
16,Seals and Crofts,Get Closer
17,Andrea True Connection,"More, More, More"
18,Queen,Bohemian Rhapsody
19,Dorothy Moore,Misty Blue
20,Sylvers,Boogie Fever
21,England Dan and John Ford Coley,I'd Really Love To See You Tonight
22,Hot Chocolate,You Sexy Thing
23,Nazareth,Love Hurts
24,Silver Convention,Get Up And Boogie
25,Eagles,Take It To The Limit
26,K.C. and The Sunshine Band,"(Shake, Shake, Shake) Shake Your Booty"
27,Commodores,Sweet Love
28,Maxine Nightingale,Right Back Where We Started From
29,Rhythm Heritage,"Theme From ""S.W.A.T"""
30,Ohio Players,Love Rollercoaster
31,Bee Gees,You Should Be Dancing
32,Lou Rawls,You'll Never Find Another Love Like Mine
33,David Bowie,Golden Years
34,Starbuck,Moonlight Feels Right
35,Dr. Hook,Only Sixteen
36,Bellamy Brothers,Let Your Love Flow
37,Gary Wright,Dream Weaver
38,Vicki Sue Robinson,Turn The Beat Around
39,Captain and Tennille,Lonely Night (Angel Face)
40,Eric Carmen,All By Myself
41,Donna Summer,Love To Love You Baby
42,Donny and Marie Osmond,Deep Purple
43,Diana Ross,"Theme From ""Mahogany"""
44,Rufus,Sweet Thing
45,K.C. and The Sunshine Band,That's The Way I Like It
46,Dr. Hook,A Little Bit More
47,Henry Gross,Shannon
48,Chicago,If You Leave Me Now
49,Boz Scaggs,Lowdown
50,Peter Frampton,Show Me The Way
51,Aerosmith,Dream On
52,O'Jays,I Love Music (Pt. 1)
53,Fleetwood Mac,Say You Love Me
54,Paul Anka,Times Of Your Life
55,Cliff Richard,Devil Woman
56,Elvin Bishop,Fooled Around And Fell In Love
57,C.W. McCall,Convoy
58,John Sebastian,Welcome Back
59,"Earth, Wind and Fire",Sing A Song
60,Tavares,Heaven Must Be Missing An Angel
61,Brothers Johnson,I'll Be Good To You
62,Captain and Tennille,Shop Around
63,Bay City Rollers,Saturday Night
64,Elton John,Island Girl
65,Staple Singers,Let's Do It Again
66,Wings,Let 'Em In
67,Wing and A Prayer Fife and Drum Corps,Baby Face
68,George Benson,This Masquerade
69,Electric Light Orchestra,Evil Woman
70,Silver,Wham Bam
71,Keith Carradine,I'm Easy
72,Harold Melvin and The Bluenotes,Wake Up Everybody (Pt. 1)
73,War,Summer
74,John Travolta,Let Her In
75,Sweet,Fox On The Run
76,Fleetwood Mac,Rhiannon (Will You Ever Win)
77,Beatles,Got To Get You Into My Life
78,Bee Gees,Fanny (Be Tender With My Love)
79,"Earth, Wind and Fire",Getaway
80,Daryl Hall and John Oates,She's Gone
81,Beach Boys,Rock And Roll Music
82,Orleans,Still The One
83,Queen,You're My Best Friend
84,Jefferson Starship,With Your Love
85,Foghat,Slow Ride
86,Ohio Players,Who'd She Coo
87,David Ruffin,Walk Away From Love
88,Peter Frampton,"Baby, I Love Your Way"
89,Candi Staton,Young Hearts Run Free
90,Neil Sedaka,Breaking Up's Hard To Do
91,Bay City Rollers,Money Honey
92,Parliament,Tear The Roof Off The Sucker
93,Larry Groce,Junk Food Junkie
94,Barry Manilow,Tryin' To Get The Feeling Again
95,Kiss,Rock And Roll All Nite
96,Rick Dees,Disco Duck
97,Thin Lizzy,The Boys Are Back In Town
98,Steve Miller Band,Take The Money And Run
99,Who,Squeeze Box
100,Glen Campbell,Country Boy (You Got Your Feet In L.A.)
