Position,Artist,Song Title
1,Archies,"Sugar, Sugar"
2,Fifth Dimension,Aquarius / Let The Sunshine In
3,Temptations,I Can't Get Next To You
4,Rolling Stones,Honky Tonk Women
5,Sly and The Family Stone,Everyday People
6,Tommy Roe,Dizzy
7,Sly and The Family Stone,Hot Fun In The Summertime
8,Tom Jones,I'll Never Fall In Love Again
9,Foundations,Build Me Up Buttercup
10,Tommy James and The Shondells,Crimson And Clover
11,Three Dog Night,One
12,Tommy James and The Shondells,Crystal Blue Persuasion
13,Cowsills,Hair
14,Marvin Gaye,Too Busy Thinking About My Baby
15,Henry Mancini and His Orch.,Love Theme From Romeo And Juliet
16,Youngbloods,Get Together
17,Friends Of Distinction,Grazin' In The Grass
18,Elvis Presley,Suspicious Minds
19,Creedence Clearwater Revival,Proud Mary
20,Jr. Walker and The All Stars,What Does It Take (To Win Your Love)
21,Isley Brothers,It's Your Thing
22,Neil Diamond,Sweet Caroline
23,Oliver,Jean
24,Creedence Clearwater Revival,Bad Moon Rising
25,Beatles,Get Back
26,Zager and Evans,In The Year 2525
27,"Blood, Sweat and Tears",Spinning Wheel
28,Andy Kim,"Baby, I Love You"
29,Friends Of Distinction,Going In Circles
30,Lettermen,Hurt So Bad
31,Creedence Clearwater Revival,Green River
32,Stevie Wonder,My Cherie Amour
33,Three Dog Night,Easy To Be Hard
34,Smith,Baby It's You
35,Elvis Presley,In The Ghetto
36,Johnny Cash,A Boy Named Sue
37,Smokey Robinson and The Miracles,"Baby, Baby Don't Cry"
38,Jerry Butler,Only The Strong Survive
39,Zombies,Time Of The Season
40,Fifth Dimension,Wedding Bell Blues
41,Bobby Sherman,Little Woman
42,Mercy,Love (Can Make You Happy)
43,Oliver,Good Morning Starshine
44,Guess Who,These Eyes
45,"Blood, Sweat and Tears",You've Made Me So Very Happy
46,Jackie DeShannon,Put A Little Love In Your Heart
47,Watts 103rd Street Rhythm Band,Do Your Thing
48,Grass Roots,I'd Wait A Million Years
49,Doors,Touch Me
50,Spiral Starecase,More Today Than Yesterday
51,Sammy Davis Jr.,I've Gotta Be Me
52,Bob Dylan,Lay Lady Lay
53,Donovan,Atlantis
54,Dennis Yost and The Classics IV,Traces
55,Mama Cass Elliot,It's Getting Better
56,Jay and The Americans,This Magic Moment
57,Temptations,"Run Away Child, Running Wild"
58,Ventures,Hawaii Five-O
59,Glen Campbell,Galveston
60,Lou Christie,I'm Gonna Make You Mine
61,Ray Stevens,Gitarzan
62,Tyrone Davis,Can I Change My Mind
63,Booker T and The MG's,Time Is Tight
64,Dionne Warwick,This Girl's In Love With You
65,Winstons,Color Him Father
66,"Sonny Charles and The Checkmates, Ltd.",Black Pearl
67,1910 Fruitgum Company,Indian Giver
68,James Brown,Mother Popcorn (Part I)
69,Edwin Starr,Twenty-five Miles
70,New Colony Six,Things I'd Like To Say
71,Motherlode,When I Die
72,Marvin Gaye,That's The Way Love Is
73,Nilsson,Everybody's Talkin'
74,Brooklyn Bridge,Worst That Could Happen
75,Joe Simon,Chokin' Kind
76,Flying Machine,Smile A Little Smile For Me
77,Tony Joe White,Polk Salad Annie
78,Kenny Rogers and The First Edition,"Ruby, Don't Take Your Love To Town"
79,Joe South,Games People Play
80,Turtles,You Showed Me
81,Cuff Links,Tracy
82,Dells,"Oh, What A Night"
83,Beatles,Something
84,Gary Puckett and The Union Gap,This Girl Is A Woman Now
85,Beatles,Come Together
86,Bob Seger System,Ramblin' Gamblin' Man
87,Diana Ross and The Supremes and The Temptations,I'm Gonna Make You Love Me
88,Marvin Gaye,I Heard It Through The Grapevine
89,Crazy Elephant,Gimme Gimme Good Lovin'
90,Booker T and The MG's,Hang 'Em High
91,Lou Rawls,Your Good Thing (Is About To End)
92,Originals,Baby I'm For Real
93,Edwin Hawkins Singers,Oh Happy Day
94,Tom Jones,Love Me Tonight
95,Paul Revere and The Raiders,"Mr. Sun, Mr. Moon"
96,Guess Who,Laughing
97,David Ruffin,My Whole World Ended (The Moment You Left Me)
98,Box Tops,Soul Deep
99,B.J. Thomas,Hooked On A Feeling
100,Box Tops,Sweet Cream Ladies
