Position,Artist,Song Title
1,Gordon Jenkins and The Weavers,Goodnight Irene
2,Nat King Cole,Mona Lisa
3,Anton Karas,Third Man Theme
4,Gary and Bing Crosby,Sam's Song
5,Gary and Bing Crosby,Simple Melody
6,Teresa Brewer,"Music, Music, Music"
7,Guy Lombardo,Third Man Theme
8,Red Foley,Chattanoogie Shoe Shine Boy
9,Sammy Kaye,Harbor Lights
10,Sammy Kaye and Don Cornell,It Isn't Fair
11,Eileen Barton,If I Knew You Were Coming I'd've Baked A Cake
12,Kay Starr,Bonaparte's Retreat
13,Gordon Jenkins and The Weavers,"Tzena, Tzena, Tzena"
14,Tony Martin,There's No Tomorrow
15,Phil Harris,The Thing
16,Ames Brothers,Sentimental Me
17,Andrews Sisters and Gordon Jenkins,I Wanna Be Loved
18,Patti Page,Tennessee Waltz
19,Andrews Sisters and Gordon Jenkins,"I Can Dream, Can't I"
20,Tennessee Ernie Ford and Kay Starr,I'll Never Be Free
21,Patti Page,All My Love
22,Gordon Jenkins,My Foolish Heart
23,Ames Brothers,Rag Mop
24,Bill Snyder,Bewitched
25,Perry Como,Hoop-Dee-Doo
26,Gordon Jenkins,Bewitched
27,Ames Brothers,Can Anyone Explain?
28,Billy Eckstine,My Foolish Heart
29,Bing Crosby,Dear Hearts And Gentle People
30,Frankie Laine,Cry Of The Wild Goose
